Country,Ratification,treaty,Entry,Signature,Note,Territorial Application,Declarations,Reservations,Communication,Authorities,Denunciation,Effect denunciation,Objection
Monaco,,European Convention for the Protection of Pet Animals,,,,,,,,,,,
Montenegro,,European Convention for the Protection of Pet Animals,,,,,,,,,,,
Netherlands,,European Convention for the Protection of Pet Animals,,13/11/1987,,,,,,,,,
Norway,3/2/1988,European Convention for the Protection of Pet Animals,1/5/1992,13/11/1987,,,,,,,,,
Poland,,European Convention for the Protection of Pet Animals,,,,,,,,,,,
Portugal,28/6/1993,European Convention for the Protection of Pet Animals,1/1/1994,13/11/1987,,,,X,,,,,
Romania,6/8/2004,European Convention for the Protection of Pet Animals,1/3/2005,23/6/2003,,,,,,,,,
Russia,,European Convention for the Protection of Pet Animals,,,,,,,,,,,
San Marino,,European Convention for the Protection of Pet Animals,,,,,,,,,,,
Serbia,2/12/2010,European Convention for the Protection of Pet Animals,1/7/2011,2/12/2010,,,,,,,,,
Slovakia,,European Convention for the Protection of Pet Animals,,,,,,,,,,,
Slovenia,,European Convention for the Protection of Pet Animals,,,,,,,,,,,
Spain,,European Convention for the Protection of Pet Animals,,,,,,,,,,,
Sweden,14/3/1989,European Convention for the Protection of Pet Animals,1/5/1992,14/3/1989,,,,,,,,,
Switzerland,3/11/1993,European Convention for the Protection of Pet Animals,1/6/1994,13/11/1990,,,,,,,,,
Macedonia,,European Convention for the Protection of Pet Animals,,,,,,,,,,,
Turkey,28/11/2003,European Convention for the Protection of Pet Animals,1/6/2004,18/11/1999,,,,,,,,,
Ukraine,,European Convention for the Protection of Pet Animals,,5/7/2011,,,,,,,,,
United Kingdom,,European Convention for the Protection of Pet Animals,,,,,,,,,,,
Albania,2/10/1996,European Convention for the Prevention of Torture and Inhuman or Degrading Treatment or Punishment,1/2/1997,2/10/1996,,,,,,,,,
Andorra,6/1/1997,European Convention for the Prevention of Torture and Inhuman or Degrading Treatment or Punishment,1/5/1997,10/9/1996,,,,,,,,,
Armenia,18/6/2002,European Convention for the Prevention of Torture and Inhuman or Degrading Treatment or Punishment,1/10/2002,11/5/2001,,,,,,,,,
Austria,6/1/1989,European Convention for the Prevention of Torture and Inhuman or Degrading Treatment or Punishment,1/5/1989,26/11/1987,,,,,,,,,
Azerbaijan,15/4/2002,European Convention for the Prevention of Torture and Inhuman or Degrading Treatment or Punishment,1/8/2002,21/12/2001,,,X,,,,,,
Belgium,23/7/1991,European Convention for the Prevention of Torture and Inhuman or Degrading Treatment or Punishment,1/11/1991,26/11/1987,,,,,,,,,
Bosnia and Herzegovina,12/7/2002,European Convention for the Prevention of Torture and Inhuman or Degrading Treatment or Punishment,1/11/2002,12/7/2002,,,,,,,,,
Bulgaria,3/5/1994,European Convention for the Prevention of Torture and Inhuman or Degrading Treatment or Punishment,1/9/1994,30/9/1993,,,,,,,,,
Croatia,11/10/1997,European Convention for the Prevention of Torture and Inhuman or Degrading Treatment or Punishment,1/2/1998,6/11/1996,,,,,,,,,
Cyprus,3/4/1989,European Convention for the Prevention of Torture and Inhuman or Degrading Treatment or Punishment,1/8/1989,26/11/1987,,,,,,,,,
Czech Republic,7/9/1995,European Convention for the Prevention of Torture and Inhuman or Degrading Treatment or Punishment,1/1/1996,23/12/1992,3,,,,,,,,
Denmark,2/5/1989,European Convention for the Prevention of Torture and Inhuman or Degrading Treatment or Punishment,1/9/1989,26/11/1987,,,,,,,,,
Estonia,6/11/1996,European Convention for the Prevention of Torture and Inhuman or Degrading Treatment or Punishment,1/3/1997,28/6/1996,,,,,,,,,
Finland,20/12/1990,European Convention for the Prevention of Torture and Inhuman or Degrading Treatment or Punishment,1/4/1991,16/11/1989,,,,,,,,,
France,9/1/1989,European Convention for the Prevention of Torture and Inhuman or Degrading Treatment or Punishment,1/5/1989,26/11/1987,,,,,,,,,
Georgia,20/6/2000,European Convention for the Prevention of Torture and Inhuman or Degrading Treatment or Punishment,1/10/2000,16/2/2000,,,X,,,,,,
Germany,21/2/1990,European Convention for the Prevention of Torture and Inhuman or Degrading Treatment or Punishment,1/6/1990,26/11/1987,,X,,,,,,,
Greece,2/8/1991,European Convention for the Prevention of Torture and Inhuman or Degrading Treatment or Punishment,1/12/1991,26/11/1987,,,,,,,,,
Hungary,4/11/1993,European Convention for the Prevention of Torture and Inhuman or Degrading Treatment or Punishment,1/3/1994,9/2/1993,,,,,,,,,
Iceland,19/6/1990,European Convention for the Prevention of Torture and Inhuman or Degrading Treatment or Punishment,1/10/1990,26/11/1987,,,,,,,,,
Ireland,14/3/1988,European Convention for the Prevention of Torture and Inhuman or Degrading Treatment or Punishment,1/2/1989,14/3/1988,,,,,,,,,
Italy,29/12/1988,European Convention for the Prevention of Torture and Inhuman or Degrading Treatment or Punishment,1/4/1989,26/11/1987,,,X,,,,,,
Latvia,10/2/1998,European Convention for the Prevention of Torture and Inhuman or Degrading Treatment or Punishment,1/6/1998,11/9/1997,,,,,,,,,
Liechtenstein,12/9/1991,European Convention for the Prevention of Torture and Inhuman or Degrading Treatment or Punishment,1/1/1992,26/11/1987,,,,,,,,,
Lithuania,26/11/1998,European Convention for the Prevention of Torture and Inhuman or Degrading Treatment or Punishment,1/3/1999,14/9/1995,,,,,,,,,
Luxembourg,6/9/1988,European Convention for the Prevention of Torture and Inhuman or Degrading Treatment or Punishment,1/2/1989,26/11/1987,,,,,,,,,
Malta,7/3/1988,European Convention for the Prevention of Torture and Inhuman or Degrading Treatment or Punishment,1/2/1989,26/11/1987,,,,,,,,,
Moldova,2/10/1997,European Convention for the Prevention of Torture and Inhuman or Degrading Treatment or Punishment,1/2/1998,2/5/1996,,,,,,,,,
Monaco,30/11/2005,European Convention for the Prevention of Torture and Inhuman or Degrading Treatment or Punishment,1/3/2006,30/11/2005,,,,,,,,,
Montenegro,3/3/2004,European Convention for the Prevention of Torture and Inhuman or Degrading Treatment or Punishment,6/6/2006,3/3/2004,56,,,,,,,,
Netherlands,12/10/1988,European Convention for the Prevention of Torture and Inhuman or Degrading Treatment or Punishment,1/2/1989,26/11/1987,,X,,,,,,,
Norway,21/4/1989,European Convention for the Prevention of Torture and Inhuman or Degrading Treatment or Punishment,1/8/1989,26/11/1987,,,,,,,,,
Poland,10/10/1994,European Convention for the Prevention of Torture and Inhuman or Degrading Treatment or Punishment,1/2/1995,11/7/1994,,,,,,,,,
Portugal,29/3/1990,European Convention for the Prevention of Torture and Inhuman or Degrading Treatment or Punishment,1/7/1990,26/11/1987,,,,,,,,,
Romania,4/10/1994,European Convention for the Prevention of Torture and Inhuman or Degrading Treatment or Punishment,1/2/1995,4/11/1993,,,,,,,,,
Russia,5/5/1998,European Convention for the Prevention of Torture and Inhuman or Degrading Treatment or Punishment,1/9/1998,28/2/1996,,,,,,,,,
San Marino,31/1/1990,European Convention for the Prevention of Torture and Inhuman or Degrading Treatment or Punishment,1/5/1990,16/11/1989,,,,,,,,,
Serbia,3/3/2004,European Convention for the Prevention of Torture and Inhuman or Degrading Treatment or Punishment,1/7/2004,3/3/2004,56,,,,,,,,
Slovakia,11/5/1994,European Convention for the Prevention of Torture and Inhuman or Degrading Treatment or Punishment,1/9/1994,23/12/1992,3,,,,,,,,
Slovenia,2/2/1994,European Convention for the Prevention of Torture and Inhuman or Degrading Treatment or Punishment,1/6/1994,4/11/1993,,,,,,,,,
Spain,2/5/1989,European Convention for the Prevention of Torture and Inhuman or Degrading Treatment or Punishment,1/9/1989,26/11/1987,,,,,,,,,
Sweden,21/6/1988,European Convention for the Prevention of Torture and Inhuman or Degrading Treatment or Punishment,1/2/1989,26/11/1987,,,,,,,,,
Switzerland,7/10/1988,European Convention for the Prevention of Torture and Inhuman or Degrading Treatment or Punishment,1/2/1989,26/11/1987,,,,,,,,,
Macedonia,6/6/1997,European Convention for the Prevention of Torture and Inhuman or Degrading Treatment or Punishment,1/10/1997,14/6/1996,,,,,,,,,
Turkey,26/2/1988,European Convention for the Prevention of Torture and Inhuman or Degrading Treatment or Punishment,1/2/1989,11/1/1988,,,,,,,,,
Ukraine,5/5/1997,European Convention for the Prevention of Torture and Inhuman or Degrading Treatment or Punishment,1/9/1997,2/5/1996,,,,,,,,,
United Kingdom,24/6/1988,European Convention for the Prevention of Torture and Inhuman or Degrading Treatment or Punishment,1/2/1989,26/11/1987,,X,,,,,,,
Albania,,Convention on Mutual Administrative Assistance in Tax Matters,,,,,,,,,,,
Andorra,,Convention on Mutual Administrative Assistance in Tax Matters,,,,,,,,,,,
Armenia,,Convention on Mutual Administrative Assistance in Tax Matters,,,,,,,,,,,
Austria,,Convention on Mutual Administrative Assistance in Tax Matters,,,,,,,,,,,
Azerbaijan,3/6/2004,Convention on Mutual Administrative Assistance in Tax Matters,1/10/2004,26/3/2003,,,X,,,,,,
Belgium,1/8/2000,Convention on Mutual Administrative Assistance in Tax Matters,1/12/2000,7/2/1992,,,X,,,X,,,
Bosnia and Herzegovina,,Convention on Mutual Administrative Assistance in Tax Matters,,,,,,,,,,,
Bulgaria,,Convention on Mutual Administrative Assistance in Tax Matters,,,,,,,,,,,
Croatia,,Convention on Mutual Administrative Assistance in Tax Matters,,,,,,,,,,,
Cyprus,,Convention on Mutual Administrative Assistance in Tax Matters,,,,,,,,,,,
Czech Republic,,Convention on Mutual Administrative Assistance in Tax Matters,,,,,,,,,,,
Denmark,16/7/1992,Convention on Mutual Administrative Assistance in Tax Matters,1/4/1995,16/7/1992,,X,X,,,X,,,
Estonia,,Convention on Mutual Administrative Assistance in Tax Matters,,,,,,,,,,,
Finland,15/12/1994,Convention on Mutual Administrative Assistance in Tax Matters,1/4/1995,11/12/1989,,,X,,,X,,,
France,25/5/2005,Convention on Mutual Administrative Assistance in Tax Matters,1/9/2005,17/9/2003,,,X,X,,X,,,
Georgia,28/2/2011,Convention on Mutual Administrative Assistance in Tax Matters,1/6/2011,12/10/2010,,,X,,,X,,,
Germany,,Convention on Mutual Administrative Assistance in Tax Matters,,17/4/2008,,,,,,,,,
Greece,,Convention on Mutual Administrative Assistance in Tax Matters,,21/2/2012,,,,,,,,,
Hungary,,Convention on Mutual Administrative Assistance in Tax Matters,,,,,,,,,,,
Iceland,22/7/1996,Convention on Mutual Administrative Assistance in Tax Matters,1/11/1996,22/7/1996,,X,X,,,,,,
Ireland,,Convention on Mutual Administrative Assistance in Tax Matters,,30/6/2011,61,,,,,,,,
Italy,31/1/2006,Convention on Mutual Administrative Assistance in Tax Matters,1/5/2006,31/1/2006,,,X,X,,X,,,
Latvia,,Convention on Mutual Administrative Assistance in Tax Matters,,,,,,,,,,,
Liechtenstein,,Convention on Mutual Administrative Assistance in Tax Matters,,,,,,,,,,,
Lithuania,,Convention on Mutual Administrative Assistance in Tax Matters,,,,,,,,,,,
Luxembourg,,Convention on Mutual Administrative Assistance in Tax Matters,,,,,,,,,,,
Malta,,Convention on Mutual Administrative Assistance in Tax Matters,,,,,,,,,,,
Moldova,24/11/2011,Convention on Mutual Administrative Assistance in Tax Matters,1/3/2012,27/1/2011,,,X,,,X,,,
Monaco,,Convention on Mutual Administrative Assistance in Tax Matters,,,,,,,,,,,
Montenegro,,Convention on Mutual Administrative Assistance in Tax Matters,,,,,,,,,,,
Netherlands,15/10/1996,Convention on Mutual Administrative Assistance in Tax Matters,1/2/1997,25/9/1990,,,X,X,,X,,,
Norway,13/6/1989,Convention on Mutual Administrative Assistance in Tax Matters,1/4/1995,5/5/1989,,X,X,,,X,,,
Poland,25/6/1997,Convention on Mutual Administrative Assistance in Tax Matters,1/10/1997,19/3/1996,,,X,X,,X,,,
Portugal,,Convention on Mutual Administrative Assistance in Tax Matters,,27/5/2010,,,,,,,,,
Romania,,Convention on Mutual Administrative Assistance in Tax Matters,,,,,,,,,,,
Russia,,Convention on Mutual Administrative Assistance in Tax Matters,,3/11/2011,61,,,,,,,,
San Marino,,Convention on Mutual Administrative Assistance in Tax Matters,,,,,,,,,,,
Serbia,,Convention on Mutual Administrative Assistance in Tax Matters,,,,,,,,,,,
Slovakia,,Convention on Mutual Administrative Assistance in Tax Matters,,,,,,,,,,,
Slovenia,31/1/2011,Convention on Mutual Administrative Assistance in Tax Matters,1/5/2011,27/5/2010,,,X,X,,X,,,
Spain,10/8/2010,Convention on Mutual Administrative Assistance in Tax Matters,1/12/2010,12/11/2009,,,X,,,X,,,
Sweden,4/7/1990,Convention on Mutual Administrative Assistance in Tax Matters,1/4/1995,20/4/1989,,,X,,,X,,,
Switzerland,,Convention on Mutual Administrative Assistance in Tax Matters,,,,,,,,,,,
Macedonia,,Convention on Mutual Administrative Assistance in Tax Matters,,,,,,,,,,,
Turkey,,Convention on Mutual Administrative Assistance in Tax Matters,,3/11/2011,61,X,X,X,,X,,,
Ukraine,26/3/2009,Convention on Mutual Administrative Assistance in Tax Matters,1/7/2009,20/12/2004,,,X,X,,X,,,
United Kingdom,24/1/2008,Convention on Mutual Administrative Assistance in Tax Matters,1/5/2008,24/5/2007,,X,X,X,,X,,,
Argentina,,Convention on Mutual Administrative Assistance in Tax Matters,,3/11/2011,61,,,,,,,,
Australia,,Convention on Mutual Administrative Assistance in Tax Matters,,3/11/2011,61,,,,,,,,
Brazil,,Convention on Mutual Administrative Assistance in Tax Matters,,3/11/2011,61,,,,,,,,
Canada,,Convention on Mutual Administrative Assistance in Tax Matters,,28/4/2004,,,,,,,,,
Chile,,Convention on Mutual Administrative Assistance in Tax Matters,,,,,,,,,,,
Costa Rica,,Convention on Mutual Administrative Assistance in Tax Matters,,1/3/2012,61,,,,,,,,
India,21/2/2012,Convention on Mutual Administrative Assistance in Tax Matters,1/6/2012,26/1/2012,62,,X,,,X,,,
Indonesia,,Convention on Mutual Administrative Assistance in Tax Matters,,3/11/2011,61,,,,,,,,
Israel,,Convention on Mutual Administrative Assistance in Tax Matters,,,,,,,,,,,
Japan,,Convention on Mutual Administrative Assistance in Tax Matters,,3/11/2011,,,,,,,,,
"South Korea",26/3/2012 a,Convention on Mutual Administrative Assistance in Tax Matters,1/7/2012,27/5/2010,,,X,X,,X,,,
Mexico,,Convention on Mutual Administrative Assistance in Tax Matters,,27/5/2010 r,,,,,,,,,
New Zealand,,Convention on Mutual Administrative Assistance in Tax Matters,,,,,,,,,,,
South Africa,,Convention on Mutual Administrative Assistance in Tax Matters,,3/11/2011,61,,,,,,,,
United States of America,13/2/1991,Convention on Mutual Administrative Assistance in Tax Matters,1/4/1995,28/6/1989,,X,X,X,,X,,,
Albania,,Additional Protocol to the European Social Charter,,,28,,,,,,,,
Andorra,,Additional Protocol to the European Social Charter,,,28,,,,,,,,
Armenia,,Additional Protocol to the European Social Charter,,,28,,,,,,,,
Austria,,Additional Protocol to the European Social Charter,,4/12/1990,,,,,,,,,
Azerbaijan,,Additional Protocol to the European Social Charter,,,28,,,,,,,,
Belgium,23/6/2003,Additional Protocol to the European Social Charter,22/7/2003,20/5/1992,,,X,,,,,,
Bosnia and Herzegovina,,Additional Protocol to the European Social Charter,,,28,,,,,,,,
Bulgaria,,Additional Protocol to the European Social Charter,,,28,,,,,,,,
Croatia,26/2/2003,Additional Protocol to the European Social Charter,28/3/2003,8/3/1999,,,X,,,,,,
Cyprus,,Additional Protocol to the European Social Charter,,5/5/1988,28,,,,,,,,
Czech Republic,17/11/1999,Additional Protocol to the European Social Charter,17/12/1999,27/5/1992,3,,X,,,,,,
Denmark,27/8/1996,Additional Protocol to the European Social Charter,26/9/1996,27/8/1996,,X,,,,,,,
Estonia,,Additional Protocol to the European Social Charter,,,28,,,,,,,,
Finland,29/4/1991,Additional Protocol to the European Social Charter,4/9/1992,9/2/1990,,,X,,,,,,
France,,Additional Protocol to the European Social Charter,,22/6/1989,28,X,,X,,,,,
Georgia,,Additional Protocol to the European Social Charter,,,28,,,,,,,,
Germany,,Additional Protocol to the European Social Charter,,5/5/1988,,,,,,,,,
Greece,18/6/1998,Additional Protocol to the European Social Charter,17/7/1998,5/5/1988,,,,,,,,,
Hungary,1/6/2005,Additional Protocol to the European Social Charter,1/7/2005,7/10/2004,,,X,,,,,,
Iceland,,Additional Protocol to the European Social Charter,,5/5/1988,,,,,,,,,
Ireland,,Additional Protocol to the European Social Charter,,,28,,,,,,,,
Italy,26/5/1994,Additional Protocol to the European Social Charter,25/6/1994,5/5/1988,,,X,,,,,,
Latvia,,Additional Protocol to the European Social Charter,,29/5/1997,,,,,,,,,
Liechtenstein,,Additional Protocol to the European Social Charter,,,,,,,,,,,
Lithuania,,Additional Protocol to the European Social Charter,,,28,,,,,,,,
Luxembourg,,Additional Protocol to the European Social Charter,,5/5/1988,,,,,,,,,
Malta,,Additional Protocol to the European Social Charter,,,28,,,,,,,,
Moldova,,Additional Protocol to the European Social Charter,,,28,,,,,,,,
Monaco,,Additional Protocol to the European Social Charter,,,,,,,,,,,
Montenegro,,Additional Protocol to the European Social Charter,,,28,,,,,,,,
Netherlands,5/8/1992,Additional Protocol to the European Social Charter,4/9/1992,14/6/1990,,X,X,,,,,,
Norway,10/12/1993,Additional Protocol to the European Social Charter,9/1/1994,10/12/1993,,X,,,,,,,
Poland,,Additional Protocol to the European Social Charter,,,,,,,,,,,
Portugal,,Additional Protocol to the European Social Charter,,,28,,,,,,,,
Romania,,Additional Protocol to the European Social Charter,,,28,,,,,,,,
Russia,,Additional Protocol to the European Social Charter,,,28,,,,,,,,
San Marino,,Additional Protocol to the European Social Charter,,,,,,,,,,,
Serbia,,Additional Protocol to the European Social Charter,,,28,,,,,,,,
Slovakia,22/6/1998,Additional Protocol to the European Social Charter,21/7/1998,27/5/1992,3,,,,,,,,
Slovenia,,Additional Protocol to the European Social Charter,,11/10/1997,28,,,,,,,,
Spain,24/1/2000,Additional Protocol to the European Social Charter,23/2/2000,5/5/1988,,,,,,,,,
Sweden,5/5/1989,Additional Protocol to the European Social Charter,4/9/1992,5/5/1988,,,,,,,,,
Switzerland,,Additional Protocol to the European Social Charter,,,,,,,,,,,
Macedonia,,Additional Protocol to the European Social Charter,,5/5/1998,,,,,,,,,
Turkey,,Additional Protocol to the European Social Charter,,5/5/1988,28,,,,,,,,
Ukraine,,Additional Protocol to the European Social Charter,,,28,,,,,,,,
United Kingdom,,Additional Protocol to the European Social Charter,,,,,,,,,,,
Albania,,Arrangement for the Application of the European Agreement of 17 October 1980 concerning the Provision of Medical Care to Persons during Temporary Residence,,,,,,,,,,,
Andorra,,Arrangement for the Application of the European Agreement of 17 October 1980 concerning the Provision of Medical Care to Persons during Temporary Residence,,,,,,,,,,,
Armenia,,Arrangement for the Application of the European Agreement of 17 October 1980 concerning the Provision of Medical Care to Persons during Temporary Residence,,,,,,,,,,,
Austria,,Arrangement for the Application of the European Agreement of 17 October 1980 concerning the Provision of Medical Care to Persons during Temporary Residence,,,,,,,,,,,
Azerbaijan,,Arrangement for the Application of the European Agreement of 17 October 1980 concerning the Provision of Medical Care to Persons during Temporary Residence,,,,,,,,,,,
Belgium,,Arrangement for the Application of the European Agreement of 17 October 1980 concerning the Provision of Medical Care to Persons during Temporary Residence,,,,,,,,,,,
Bosnia and Herzegovina,,Arrangement for the Application of the European Agreement of 17 October 1980 concerning the Provision of Medical Care to Persons during Temporary Residence,,,,,,,,,,,
Bulgaria,,Arrangement for the Application of the European Agreement of 17 October 1980 concerning the Provision of Medical Care to Persons during Temporary Residence,,,,,,,,,,,
Croatia,,Arrangement for the Application of the European Agreement of 17 October 1980 concerning the Provision of Medical Care to Persons during Temporary Residence,,,,,,,,,,,
Cyprus,,Arrangement for the Application of the European Agreement of 17 October 1980 concerning the Provision of Medical Care to Persons during Temporary Residence,,,,,,,,,,,
Czech Republic,,Arrangement for the Application of the European Agreement of 17 October 1980 concerning the Provision of Medical Care to Persons during Temporary Residence,,,,,,,,,,,
Denmark,,Arrangement for the Application of the European Agreement of 17 October 1980 concerning the Provision of Medical Care to Persons during Temporary Residence,,,,,,,,,,,
Estonia,,Arrangement for the Application of the European Agreement of 17 October 1980 concerning the Provision of Medical Care to Persons during Temporary Residence,,,,,,,,,,,
Finland,,Arrangement for the Application of the European Agreement of 17 October 1980 concerning the Provision of Medical Care to Persons during Temporary Residence,,,,,,,,,,,
France,,Arrangement for the Application of the European Agreement of 17 October 1980 concerning the Provision of Medical Care to Persons during Temporary Residence,,,,,,,,,,,
Georgia,,Arrangement for the Application of the European Agreement of 17 October 1980 concerning the Provision of Medical Care to Persons during Temporary Residence,,,,,,,,,,,
Germany,,Arrangement for the Application of the European Agreement of 17 October 1980 concerning the Provision of Medical Care to Persons during Temporary Residence,,,,,,,,,,,
Greece,,Arrangement for the Application of the European Agreement of 17 October 1980 concerning the Provision of Medical Care to Persons during Temporary Residence,,,,,,,,,,,
Hungary,,Arrangement for the Application of the European Agreement of 17 October 1980 concerning the Provision of Medical Care to Persons during Temporary Residence,,,,,,,,,,,
Iceland,,Arrangement for the Application of the European Agreement of 17 October 1980 concerning the Provision of Medical Care to Persons during Temporary Residence,,,,,,,,,,,
Ireland,,Arrangement for the Application of the European Agreement of 17 October 1980 concerning the Provision of Medical Care to Persons during Temporary Residence,,,,,,,,,,,
Italy,,Arrangement for the Application of the European Agreement of 17 October 1980 concerning the Provision of Medical Care to Persons during Temporary Residence,,,,,,,,,,,
Latvia,,Arrangement for the Application of the European Agreement of 17 October 1980 concerning the Provision of Medical Care to Persons during Temporary Residence,,,,,,,,,,,
Liechtenstein,,Arrangement for the Application of the European Agreement of 17 October 1980 concerning the Provision of Medical Care to Persons during Temporary Residence,,,,,,,,,,,
Lithuania,,Arrangement for the Application of the European Agreement of 17 October 1980 concerning the Provision of Medical Care to Persons during Temporary Residence,,,,,,,,,,,
Luxembourg,,Arrangement for the Application of the European Agreement of 17 October 1980 concerning the Provision of Medical Care to Persons during Temporary Residence,,,,,,,,,,,
Malta,,Arrangement for the Application of the European Agreement of 17 October 1980 concerning the Provision of Medical Care to Persons during Temporary Residence,,,,,,,,,,,
Moldova,,Arrangement for the Application of the European Agreement of 17 October 1980 concerning the Provision of Medical Care to Persons during Temporary Residence,,,,,,,,,,,
Monaco,,Arrangement for the Application of the European Agreement of 17 October 1980 concerning the Provision of Medical Care to Persons during Temporary Residence,,,,,,,,,,,
Montenegro,,Arrangement for the Application of the European Agreement of 17 October 1980 concerning the Provision of Medical Care to Persons during Temporary Residence,,,,,,,,,,,
Netherlands,,Arrangement for the Application of the European Agreement of 17 October 1980 concerning the Provision of Medical Care to Persons during Temporary Residence,,,,,,,,,,,
Norway,,Arrangement for the Application of the European Agreement of 17 October 1980 concerning the Provision of Medical Care to Persons during Temporary Residence,,,,,,,,,,,
Poland,,Arrangement for the Application of the European Agreement of 17 October 1980 concerning the Provision of Medical Care to Persons during Temporary Residence,,,,,,,,,,,
Portugal,,Arrangement for the Application of the European Agreement of 17 October 1980 concerning the Provision of Medical Care to Persons during Temporary Residence,,,,,,,,,,,
Romania,,Arrangement for the Application of the European Agreement of 17 October 1980 concerning the Provision of Medical Care to Persons during Temporary Residence,,,,,,,,,,,
Russia,,Arrangement for the Application of the European Agreement of 17 October 1980 concerning the Provision of Medical Care to Persons during Temporary Residence,,,,,,,,,,,
San Marino,,Arrangement for the Application of the European Agreement of 17 October 1980 concerning the Provision of Medical Care to Persons during Temporary Residence,,,,,,,,,,,
Serbia,,Arrangement for the Application of the European Agreement of 17 October 1980 concerning the Provision of Medical Care to Persons during Temporary Residence,,,,,,,,,,,
Slovakia,,Arrangement for the Application of the European Agreement of 17 October 1980 concerning the Provision of Medical Care to Persons during Temporary Residence,,,,,,,,,,,
Slovenia,,Arrangement for the Application of the European Agreement of 17 October 1980 concerning the Provision of Medical Care to Persons during Temporary Residence,,,,,,,,,,,
Spain,,Arrangement for the Application of the European Agreement of 17 October 1980 concerning the Provision of Medical Care to Persons during Temporary Residence,,,,,,,,,,,
Sweden,,Arrangement for the Application of the European Agreement of 17 October 1980 concerning the Provision of Medical Care to Persons during Temporary Residence,,,,,,,,,,,
Switzerland,,Arrangement for the Application of the European Agreement of 17 October 1980 concerning the Provision of Medical Care to Persons during Temporary Residence,,,,,,,,,,,
Macedonia,,Arrangement for the Application of the European Agreement of 17 October 1980 concerning the Provision of Medical Care to Persons during Temporary Residence,,,,,,,,,,,
Turkey,,Arrangement for the Application of the European Agreement of 17 October 1980 concerning the Provision of Medical Care to Persons during Temporary Residence,,,,,,,,,,,
Ukraine,,Arrangement for the Application of the European Agreement of 17 October 1980 concerning the Provision of Medical Care to Persons during Temporary Residence,,,,,,,,,,,
United Kingdom,,Arrangement for the Application of the European Agreement of 17 October 1980 concerning the Provision of Medical Care to Persons during Temporary Residence,,,,,,,,,,,
Albania,,Convention on Insider Trading,,,,,,,,,,,
Andorra,,Convention on Insider Trading,,,,,,,,,,,
Armenia,,Convention on Insider Trading,,,,,,,,,,,
Austria,,Convention on Insider Trading,,,,,,,,,,,
Azerbaijan,,Convention on Insider Trading,,,,,,,,,,,
Belgium,,Convention on Insider Trading,,,,,,,,,,,
Bosnia and Herzegovina,,Convention on Insider Trading,,,,,,,,,,,
Bulgaria,,Convention on Insider Trading,,,,,,,,,,,
Croatia,,Convention on Insider Trading,,,,,,,,,,,
Cyprus,8/2/1994,Convention on Insider Trading,1/6/1994,28/10/1991,,,,,,,,,
Czech Republic,8/9/2000,Convention on Insider Trading,1/1/2001,15/10/1999,,,X,,,,,,
Denmark,,Convention on Insider Trading,,,,,,,,,,,
Estonia,,Convention on Insider Trading,,,,,,,,,,,
Finland,13/9/1995,Convention on Insider Trading,1/1/1996,13/9/1995,,,,,,,,,
France,,Convention on Insider Trading,,,,,,,,,,,
Georgia,,Convention on Insider Trading,,,,,,,,,,,
Germany,,Convention on Insider Trading,,,,,,,,,,,
Greece,,Convention on Insider Trading,,,,,,,,,,,
Hungary,,Convention on Insider Trading,,,,,,,,,,,
Iceland,,Convention on Insider Trading,,,,,,,,,,,
Ireland,,Convention on Insider Trading,,,,,,,,,,,
Italy,,Convention on Insider Trading,,,,,,,,,,,
Latvia,,Convention on Insider Trading,,,,,,,,,,,
Liechtenstein,,Convention on Insider Trading,,,,,,,,,,,
Lithuania,,Convention on Insider Trading,,,,,,,,,,,
Luxembourg,29/8/1997,Convention on Insider Trading,1/12/1997,29/8/1997,,,,,,,,,
Malta,,Convention on Insider Trading,,,,,,,,,,,
Moldova,,Convention on Insider Trading,,,,,,,,,,,
Monaco,,Convention on Insider Trading,,,,,,,,,,,
Montenegro,,Convention on Insider Trading,,,,,,,,,,,
Netherlands,4/7/1994,Convention on Insider Trading,1/11/1994,1/6/1993,,X,X,,,X,,,
Norway,11/4/1990,Convention on Insider Trading,1/10/1991,22/9/1989,,,,,,,,,
Poland,,Convention on Insider Trading,,,,,,,,,,,
Portugal,,Convention on Insider Trading,,,,,,,,,,,
Romania,,Convention on Insider Trading,,,,,,,,,,,
Russia,,Convention on Insider Trading,,,,,,,,,,,
San Marino,,Convention on Insider Trading,,,,,,,,,,,
Serbia,,Convention on Insider Trading,,,,,,,,,,,
Slovakia,,Convention on Insider Trading,,,,,,,,,,,
Slovenia,,Convention on Insider Trading,,23/11/1993,,,,,,,,,
Spain,,Convention on Insider Trading,,,,,,,,,,,
Sweden,3/6/1991,Convention on Insider Trading,1/10/1991,15/9/1989,,,,,,,,,
Switzerland,,Convention on Insider Trading,,,,,,,,,,,
Macedonia,,Convention on Insider Trading,,,,,,,,,,,
Turkey,,Convention on Insider Trading,,,,,,,,,,,
Ukraine,,Convention on Insider Trading,,,,,,,,,,,
United Kingdom,21/12/1990,Convention on Insider Trading,1/10/1991,13/9/1989,,,,,,,,,
Albania,,Third Additional Protocol to the Protocol to the European Agreement on the Protection of Television Broadcasts,,,,,,,,,,,
Andorra,,Third Additional Protocol to the Protocol to the European Agreement on the Protection of Television Broadcasts,,,,,,,,,,,
